           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	             90	       0.220526	        2.60254	  7.1743191351e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             91	       0.220526	        2.72949	  7.1780710101e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             92	       0.220526	        2.85645	  7.1818312357e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             93	       0.220526	         2.9834	  7.1855998274e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             94	       0.220526	        3.11035	  7.1893767912e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             95	       0.220526	         3.2373	  7.1939759977e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             96	       0.220526	        3.36426	  7.1988559416e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             97	       0.220526	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             98	       0.220526	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	             99	       0.220526	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            100	       0.220526	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            101	       0.220526	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            104	       0.367543	      0.0634766	  7.0868822609e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            105	       0.367543	        0.19043	  7.0911707828e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            106	       0.367543	       0.317383	  7.0954706420e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            107	       0.367543	       0.444336	  7.0997817905e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            108	       0.367543	       0.571289	  7.1041043720e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            109	       0.367543	       0.698242	  7.1084383382e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            110	       0.367543	       0.825195	  7.1127837814e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            111	       0.367543	       0.952148	  7.1171407412e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            112	       0.367543	         1.0791	  7.1215092045e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            113	       0.367543	        1.20605	  7.1258892821e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            114	       0.367543	        1.33301	  7.1302809255e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            115	       0.367543	        1.45996	  7.1346842818e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            116	       0.367543	        1.58691	  7.1390992847e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            117	       0.367543	        1.71387	  7.1435260823e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            118	       0.367543	        1.84082	  7.1479646260e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            119	       0.367543	        1.96777	  7.1524150109e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            120	       0.367543	        2.09473	  7.1568772606e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            121	       0.367543	        2.22168	  7.1611870390e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            122	       0.367543	        2.34863	  7.1649097551e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            123	       0.367543	        2.47559	  7.1686407455e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            124	       0.367543	        2.60254	  7.1723799979e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            125	       0.367543	        2.72949	  7.1761275915e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            126	       0.367543	        2.85645	  7.1798834773e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            127	       0.367543	         2.9834	  7.1840191794e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            128	       0.367543	        3.11035	  7.1888705723e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            129	       0.367543	         3.2373	  7.1937358978e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            130	       0.367543	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            131	       0.367543	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            132	       0.367543	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            133	       0.367543	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            134	       0.367543	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            135	       0.367543	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            138	        0.51456	      0.0634766	  7.0869423810e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            139	        0.51456	        0.19043	  7.0912310613e+000	  0.0000000000e+000	  0.0000000000e+000	
