           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
           8640	            719	        3.01385	       0.444336	  6.9160248510e+000	  2.3002364943e+002	  3.5472376644e+002	
           8640	            968	        4.04297	        1.84082	  7.1306877449e+000	  9.0678762495e+001	  1.3983741457e+002	
          10000	            719	        3.01385	       0.444336	  6.9202425063e+000	  2.3437035420e+002	  3.6142690239e+002	
          10000	            968	        4.04297	        1.84082	  7.1210809759e+000	  1.2882187025e+002	  1.9865861466e+002	
         872640	            719	        3.01385	       0.444336	  7.0125078878e+000	  1.2785391929e+002	  1.9716593367e+002	
         872640	            968	        4.04297	        1.84082	  7.0630679711e+000	  1.7527321283e+002	  2.7029211781e+002	
